Page Name,Disclaimer,Amount Spent,Number of Ads in Library
The Brexit Party,The Brexit Party,26776,35
Liberal Democrats,the Liberal Democrats,23191,549
Electoral Commission UK,The Electoral Commission,20680,10
Change UK - The Independent Group,Change UK - The Independent Group,15641,458
Friends of the Earth,Friends of the Earth,7708,423
Vote For Your Future,Vote For Your Future,7392,12
The Labour Party,The Labour Party,7331,50
Avaaz,Avaaz Campaigns UK,6079,10
Change UK - The Independent Group,"The Independent Group (TIG) Ltd, company number 11770529, a registered company in England and Wales.",5849,82
Greenpeace UK,Greenpeace UK,2881,18
Conservatives,The Conservative Party,2286,105
QuoteSearch.com,QuoteSearch,2187,30
TheArticle,TheArticle,2095,7
School Cuts,National Education Union,2043,46
Labour North,The Labour Party,2033,4
38 Degrees,38 Degrees,1790,34
WWF UK,WWF UK,1783,8
Yorkshire and the Humber Labour Party,the Labour party,1255,2
Welsh Labour,Welsh Labour,1243,3
Best For Britain,Best for Britain,1164,39
Scottish Labour Party,Scottish Labour Party,1146,3
People's Vote UK,People's Vote,1037,28
Asthma UK,Asthma UK,981,1
London Gov,the Greater London Authority,724,19
Alex Chalk,The Conservative Party,655,9
Alex Salmond,Slainte Media,653,7
Lee Rowley,Alexander Guy Dale,574,16
Oxfam Great Britain,Oxfam GB,525,6
Labour East,The Labour Party,519,3
Global Justice Now,Global Justice Now,506,145
HOPE not hate,HOPE not hate,499,6
Labour North West,The Labour Party,481,2
Tom Hunt,The Conservative Party,462,59
WWF Scotland,WWF Scotland,460,3
Robin Walker MP,The Conservative Party,455,19
Friends of the Earth,"Friends of the Earth England, Wales and Northern Ireland",452,41
Ryan Henson,The Conservative Party,434,8
Miriam Cates,The Conservative Party,430,6
Royston Smith MP,The Conservative Party,422,6
Bournemouth Green Party,South East Dorset Green Party,420,9
Andrea Jenkyns,The Conservative Party,412,9
Liam Byrne,Liam Byrne MP,393,4
Stuart Andrew,The Conservative Party,390,6
Reignite,Reignite,387,1
Eastern Region Green Party,Eastern Region Green Party,363,4
David Morris MP,The Conservative Party,355,9
Ben Houchen - Tees Valley Mayor,Ben Houchen,347,5
Damien Moore MP,The Conservative Party,339,27
Stuart Anderson,The Conservative Party,319,18
Jeremy Corbyn,The Labour Party,309,1
Co-operative Party,Co-operative Party,305,5
The Week UK,The Week,293,8
LCLC - Lithuanian City of London Club - Londono Sičio Lietuvių Klubas,Lithuanian City of London Club,289,1
Dehenna Davison Fareham,The Conservative Party,287,6
Jamie Smart,Clarity Academy Ltd,271,3
Neville Seed MEP Candidate,Neville Seed,270,1
National Education Union,National Education Union,262,1
Green Party of England and Wales,The Green Party of England and Wales,247,1
Andrew Stephenson MP,The Conservative Party,241,6
Eddie Hughes MP,The Conservative Party,235,13
JW3,JW3,234,5
Lisa Forbes for Peterborough,The Labour Party,233,2
Ben Bradley MP,The Conservative Party,230,6
Jackie Doyle-Price,The Conservative Party,226,3
Peter Gibson For Darlington,The Conservative Party,219,6
Lucy Allan MP,The Conservative Party,215,6
Andrew Lewer MP Northampton South,The Conservative Party,213,6
Renew,Renew  Party,210,11
Concern Worldwide UK,Concern Worldwide UK,208,2
Peterborough Conservatives,The Conservative Party,200,60
Wandsworth Labour,Wandsworth Labour,190,11
Amber Rudd MP,The Conservative Party,185,4
Ian Sowden - European Parliament London,Ian Sowden,178,11
City Index,City Index,177,1
Annabel Tall,The Conservative Party,175,1
Peterborough Labour Party,The Labour Party. Promoted by Hollie Ridley on behalf of Peterborough Labour Party.,168,1
The City of Edinburgh Council,The City of Edinburgh Council,161,2
Labour South East,The Labour Party,157,2
Derek Thomas,The Conservative Party,154,6
Chatham House,Chatham House,154,1
Peterborough Conservatives,Conservatives,148,39
Alliance Party of Northern Ireland,The Alliance Party,148,1
London Labour Party,The London Labour Party,147,5
Unite the union,Unite the union,145,1
The News Dump,The News Dump,143,2
crudelydrawn,crudelydrawn,141,16
OneSub,OneSub Ltd,141,1
Cheltenham Liberal Democrats,Cheltenham Liberal Democrats,139,2
International Animal Rescue,International Animal Rescue,138,1
London Labour Party,The Labour Party,136,2
Mayor of London,the Greater London Authority,134,5
Isobel Grant,The Conservative Party,124,15
Newcastle Helix,Newcastle Helix,124,1
Laura Wirral West,The Conservative Party,122,54
Bing Bunny,Acamar Films,119,1
Reprieve,Reprieve,118,1
Plaid Cymru,Plaid Cymru,117,4
Mario Creatura,Conservatives,116,15
The Week Junior,These ads ran without a disclaimer,115,3
Scottish Enterprise,Scottish Enterprise,112,4
Steve Brine MP,Steve Brine MP,111,2
ReCircle Recycling,ReCircle Recycling,111,3
Robert Largan for High Peak,Conservatives,110,3
Healthwatch Hackney,Healthwatch Hackney,109,2
Electoral Reform Society,Electoral Reform Society,108,29
Manchester City Council,Manchester City Council,107,1
Scottish Family Party,Scottish Family Party,105,1
We Believe in Israel,We Believe in Israel,102,1
Derby News,Russell Pollard,≤100,2
Mike Hookem MEP,Mike Hookem MEP,≤100,4
Iain Duncan Smith MP,The Conservative Party,≤100,11
Campaign for Freedom of Information,Campaign for Freedom of Information,≤100,14
UKIP East Midlands,UKIP East Midlands,≤100,9
10:10 climate action,10:10 climate action,≤100,1
Loving Europe 2,Terence Brotheridge,≤100,28
Scottish Environment LINK,Scottish Environment LINK,≤100,6
Yorkshire Party,the Yorkshire Party,≤100,1
Yusuf Chambers,One Ummah,≤100,4
Travel Insurance Explained,Miss Rebecca Marie Kingsley,≤100,1
ourEconomy,openDemocracy,≤100,1
YesCymru,YesCymru,≤100,2
I Love EU,Terence Brotheridge,≤100,34
WarwickDistrict4Europe,Scientists for EU,≤100,1
Theresa Villiers,The Conservative Party,≤100,9
Herefordshire For Europe,Scientists for EU,≤100,1
It’s Our City,It's Our City,≤100,21
Labour Future,Labour Future,≤100,2
Togetherband,Social Misfits Media,≤100,6
Southwark Liberal Democrats,Southwark Liberal Democrats,≤100,2
Green Lane Masjid,Green Lane Masjid & Community Centre,≤100,1
The TaxPayers' Alliance,The TaxPayers' Alliance,≤100,2
Cllr Nesil Caliskan - Leader of Enfield Council,Ian David Barnes,≤100,1
First News,First News,≤100,13
MoneyWeek,MoneyWeek,≤100,6
Bradford Council,Bradford Council,≤100,2
Johnny For Plymouth,Johnny Mercer,≤100,2
Andy Street,The Conservative Party,≤100,88
Elliot Colburn,The Conservative Party,≤100,9
Scots For Leave,Scots for Leave,≤100,3
Paul Bristow,Conservatives,≤100,92
Councillor Greg Stanton,Manchester Withington Liberal Democrats,≤100,1
Crisis,Crisis UK,≤100,2
Create Collective,Nicola Grainne P Matts,≤100,2
Simon Hart MP,Simon Hart MP,≤100,2
Ali Dawah / Official,These ads ran without a disclaimer,≤100,12
Believe In Bees,Believe In Bees,≤100,5
Polski Biznes w UK,Krzysztof Kawulak,≤100,1
The Radical Read Project,Russell Miller,≤100,1
European Movement in Wandsworth and Merton,James Matthew Stephen Ryder,≤100,3
Andrew George,Andrew George,≤100,2
Anas Sarwar,Anas Sarwar,≤100,1
Hatch,Hatch,≤100,4
James Palmer,James Palmer,≤100,1
Chesham and Amersham Conservatives,Chesham and Amersham Conservative Association,≤100,4
Saving The Survivors,Saving the Survivors,≤100,1
The Week Junior,The Week Junior,≤100,3
IFAW,International Fund for Animal Welfare (IFAW),≤100,1
Bedford Borough Council,Bedford Borough Council,≤100,1
"Wild Trails - Tours, Courses, Expeditions",Africa Wild Trails Ltd,≤100,3
The Democratic Party,These ads ran without a disclaimer,≤100,1
Simon Clarke MP,Simon Clarke,≤100,4
Abdur-Raheem McCarthy (عبدالرحيم مكارثي),One Ummah,≤100,16
The Post Truth Post,satirical news site - The Post Truth Post,≤100,5
Elmbridge Liberal Democrats,Elmbridge Liberal Democrat’s,≤100,2
Tom Hunt,Tom Hunt,≤100,1
Havant Liberal Democrats,Paul Gray,≤100,2
Greenock & Inverclyde SNP,Mark Saunders,≤100,7
Flaming Bee,Caner Tastan,≤100,40
Aaron Wynne - Aberconwy,Aaron Wynne,≤100,2
London Liberal Democrats,"Nick Harvey on behalf of the Liberal Democrats,, London, SW1P 3AE. Hosted by NationBuilder.",≤100,9
Tower Hamlets Council,Tower Hamlets Council,≤100,1
Mike Patchett For Winklebury,Michael J Patchett,≤100,1
Mark Weston,The Conservative Party,≤100,12
Wedding Pearls,Wedding Pearls,≤100,1
Banbury for Europe,Banbury for Europe,≤100,1
Matt Hancock,West Suffolk Conservative Association,≤100,1
Yorkshire & the Humber Green Party,Yorkshire & the Humber Green Party,≤100,3
"SDP, Eastbourne Old Town",Sally Elizabeth Kitchen,≤100,3
Peter Gibson For Darlington,Peter Gibson for Darlington,≤100,3
Socialist Equality Party (Britain),The Socialist Equality Party,≤100,1
Westhoughton Life,Martyn Cox,≤100,17
"Joan Ryan, MP for Enfield North",Joan Ryan MP,≤100,1
Kim Caddy,Wandsworth and Wimbledon Conservatives,≤100,1
Tony Devenish,Cities of London & Westminster Conservatives,≤100,1
Iain Stewart MP,The Conservative Party,≤100,16
Social Democratic and Labour Party (SDLP),Social Democratic and Labour Party (SDLP),≤100,7
UK24 TV,Adeel Saleem,≤100,1
Yes Elgin,Yes Elgin,≤100,1
Save The Chelsfield,Steven Andrew Wilson,≤100,5
WHAX,Daniel Paul Smith,≤100,2
Aberdeen Campaign for Nuclear Disarmament (CND),Aberdeen and District Campaign for Nuclear Disarmament,≤100,3
THTC - The Hemp Trading Company,THTC Clothing Ltd,≤100,4
Swindon For Europe Campaign Page,Swindon For Europe,≤100,2
Ladywood Online,Ladywood Liberal Democrats,≤100,2
Spaice,Vipul Patel,≤100,2
Plaid Cymru Montgomeryshire / Maldwyn,Plaid Cymru Maldwyn,≤100,6
Kim Caddy,The Conservative Party,≤100,9
Bath for Europe,BathforEurope,≤100,1
Preston For Europe - page,Michael John Galsworthy,≤100,1
Veganuary,Veganuary,≤100,2
David Rutley MP,The Conservative Party,≤100,1
Aphra Brandreth,The Conservative Party,≤100,15
Chris Webb,Chris Webb for Blackpool North & Cleveleys Campaign,≤100,2
Unison East Midlands,UNISON Campaign Fund,≤100,2
Ely for Europe,Virginie Ganivet on behalf of Ely for Europe,≤100,1
Tristan Gray,Tristan Gray,≤100,5
Samantha Harvey for Rural Ward Wakefield,Samantha  Harvey,≤100,1
Chloe Smith MP,The Conservative Party,≤100,15
Staffs4Europe,Scientists for EU,≤100,1
Denise Donaldson - South Northants Green Party Candidate,Denise A Donaldson,≤100,1
Keep Britain Afloat,Keep Britain Afloat,≤100,3
Alok Sharma,The Conservative Party,≤100,13
Peoples Vote West Lancashire,Terence Leonard Brotheridge,≤100,10
Paul Maynard MP,The Conservative Party,≤100,9
Brexit - Time to choose a direction,Iain Macdonald,≤100,1
Mark Lancaster MP,The Conservative Party,≤100,15
The Scottish Parliament,The Scottish Parliament,≤100,1
Our West Lancashire,Our West Lancashire,≤100,10
Muscular Dystrophy UK,Muscular Dystrophy UK,≤100,2
Andy Canning,Andy Canning,≤100,1
Bournemouth Labour,Bournemouth Labour Party,≤100,1
Go and Vote,Alexander Grahame Poole,≤100,1
Lincoln Green Party - UK,John Anthony Radford,≤100,1
Craig Whittaker MP,The Conservative Party,≤100,9
Canterbury Labour Party,"The Labour Party. Promoted by Julia Seath on behalf of Canterbury Labour Party, both of 12 Belmont Road, Whitstable, CT5 1QP",≤100,1
Thanet Liberal Democrats,Angela Mary Curwen,≤100,1
Gateshead Labour Party,Pamela Marie Burns,≤100,2
Our Merton,Liberal Democrats,≤100,1
Sutton Liberal Democrats,Sutton Liberal Democrats,≤100,1
James Airey,The Conservative Party,≤100,9
Equality Network,the Equality Network,≤100,2
Devon for Europe,Devon for Europe,≤100,1
The Brickish Times,The Brickish Times,≤100,1
Politics for the Many,Politics for the Many,≤100,1
Compassion in Politics,Matthew Hawkins,≤100,1
Lib Dem Newswire,Liberal Democrat Newswire,≤100,2
William Wragg MP,The Conservative Party,≤100,14
Liam Kerr MSP,The Scottish Parliament,≤100,1
Pests Production,David Alec Doust,≤100,2
The Bank Nightclub - Perth,ENT24 Ltd,≤100,4
Craig Whittaker MP,Independent Parliamentary Standards Authority,≤100,2
Neil Bibby,Neil Bibby,≤100,2
Chorley Conservatives,Chorley Conservative Association,≤100,2
Business for Scotland,Business for Scotland,≤100,5
Women’s Equality Party- Otley and District Branch,Sarah Somerscales,≤100,1
Harbour Villages Ward,Chichester Liberal Democrats,≤100,1
Dave Chrisp Comedy,David Chrisp,≤100,4
Trossachs & Teith SNP,Trossachs & Teith Branch SNP,≤100,3
John Flack MEP,John Flack MEP,≤100,1
David Melding AM,"the office of David Melding AM, funded by the National Assembly for Wales",≤100,1
Ipswich Region,Region Media Ltd,≤100,6
Yusuf Chambers,These ads ran without a disclaimer,≤100,19
Cllr Karen Lucioni,Karen Lucioni,≤100,2
Gosport Liberal Democrats,Gosport Liberal Democrats,≤100,1
Alberto Giurioli,Alberto Giurioli,≤100,2
John Riley working hard for Moorview,John Christdpher Riley,≤100,2
Rachel Reeves,Office of Rachel Reeves MP,≤100,4
Black Country Party,Black Country Party,≤100,1
Chipping Barnet for Europe,Derek Meyer,≤100,4
European Movement: Milton Keynes,European Movement Milton Keynes,≤100,2
Hackney Lib Dems,Hackney Liberal Democrats,≤100,4
Mick Antoniw,"Mick Antoniw, Assembly Member for Pontypridd at 10 Market Street, Pontypridd, CF37 2ST",≤100,1
Cambridge Stays,Cambridge Stays,≤100,3
Gary Sambrook,Gary William Sambrook,≤100,1
Ben Lake - Ceredigion,Plaid Cymru Ceredigion,≤100,1
Simon Clarke MP,The Conservative Party,≤100,17
Leeds Green Party,Central & Outer Leeds Green Party,≤100,2
Cllr Michael Long,Michael Long,≤100,1
London School of Hygiene & Tropical Medicine,These ads ran without a disclaimer,≤100,1
Inverclyde Liberal Democrats,Inverclyde Liberal Democrat Party,≤100,2
Camden Council,Camden Council,≤100,2
